serial_number,stock_code,stock_abbr,asset_cash_and_cash_equivalents,asset_accounts_receivable,asset_inventory,asset_trading_financial_assets,asset_construction_in_progress,asset_total_assets,asset_total_assets_yoy_growth,liability_accounts_payable,liability_advance_from_customers,liability_total_liabilities,liability_total_liabilities_yoy_growth,liability_contract_liabilities,liability_short_term_loans,asset_liability_ratio,equity_unappropriated_profit,equity_total_equity,report_period,report_year
1,002821,凯莱英,528959.4428,245114.8109,151041.3103,215106.1844,107248.2186,1823927.365,,56889.2374,27732.9571,217709.5275,,27732.9571,0,11.94,615500.8475,1564742.764,FY,2022
2,002821,凯莱英,588717.0245,199238.1106,110807.4043,252346.8549,92413.957,1854676.005,,37071.9076,34210.2564,177334.8749,,34210.2564,0.0195,9.56,678535.448,1632485.457,Q1,2023
3,002821,凯莱英,709955.091,247622.9978,88035.9114,210508.536,98193.7431,1976422.61,,39467.2635,35557.84,179493.6039,,35557.84,0,9.08,770093.2662,1743356.552,Q3,2023
4,002821,凯莱英,704148.2523,252516.1782,78802.3344,186038.5065,91584.7891,1919689.859,,41387.4335,33557.9763,197716.2949,,33557.9763,0.0003,10.3,717696.617,1674877.335,HY,2023
5,002821,凯莱英,710998.6609,199876.1478,94534.7307,190577.8817,133074.1548,1976715.865,8.38,45362.0062,22120.4439,180080.2929,-17.28,22120.4439,1222.797,9.11,775992.2411,1747971.634,FY,2023
6,002821,凯莱英,754786.9903,171292.7095,99233.0687,143478.0195,151464.2363,1984142.323,6.98,40598.5587,27183.755,176824.0664,-0.29,27183.755,1222.797,8.91,804189.3839,1757890.893,Q1,2024
7,002821,凯莱英,520211.7378,165962.7765,119791.7336,195678.9667,176649.8935,1869773.839,-5.4,55089.4605,26673.3096,158583.1284,-11.65,26673.3096,1222.797,8.48,783638.1926,1661288.357,Q3,2024
8,002821,凯莱英,567892.3802,148293.212,99795.9298,204072.8195,179542.8292,1885864.712,-1.76,38832.8039,25206.072,189368.9594,-4.22,25206.072,1222.797,10.04,761711.5787,1642903.961,HY,2024
9,002821,凯莱英,578940.8498,181100.8371,119334.6493,153980.9293,186678.134,1928855.769,-2.42,45084.5943,26994.0918,170934.5179,-5.08,26994.0918,1222.797,8.86,807800.6859,1684538.517,FY,2024
10,002821,凯莱英,680198.3716,166350.5039,118713.0091,76444.9856,198803.1879,1944717.65,-1.99,46767.4845,35263.451,155851.5333,-11.86,35263.451,15776.1913,8.01,840461.4677,1717997.703,Q1,2025
11,002821,凯莱英,666165.9994,152672.2009,149662.0683,89891.5732,210842.6698,1980717.584,5.93,58014.8309,28959.2628,178445.4797,12.52,28959.2628,17579.1697,9.01,848318.5952,1735033.005,Q3,2025
12,002821,凯莱英,679430.4301,197496.3262,121200.4083,66267.0956,207440.6446,1985138.777,5.26,47881.4752,39006.2,207503.5846,9.58,39006.2,0.004,10.45,830041.0989,1708303.243,HY,2025
13,300347,泰格医药,785813.9864,102778.9336,2220.444,2494.5744,18627.6652,2744651.06,,15795.7611,93976.47,372956.6848,,93976.47,184865.847,13.59,727033.4547,1958302.233,FY,2022
14,300347,泰格医药,761613.0649,107737.5174,2312.6561,3284.0646,22181.3206,2817212.77,,17598.2484,87090.0929,379699.4946,,87090.0929,208258.565,13.48,783878.964,2014501.339,Q1,2023
15,300347,泰格医药,741710.136,117600.9099,2723.8796,2500,24987.6779,3007244.941,,16854.3507,79426.8614,427208.8046,,79426.8614,253383.8,14.21,867421.7264,2105987.8,Q3,2023
16,300347,泰格医药,813791.0878,120179.371,2653.4685,2000,25733.375,2966667.573,,17439.6952,87638.1211,463325.0533,,87638.1211,236311.34,15.62,818294.984,2058610.394,HY,2023
17,300347,泰格医药,741999.1842,126070.0341,2339.7667,4213.8296,32427.8367,2968074.235,8.14,24930.7925,68048.9185,413873.6292,10.97,68048.9185,196969.35,13.94,877479.4749,2102677.473,FY,2023
18,300347,泰格医药,744151.1432,120916.4852,2367.4383,870.1513,40776.3268,3007018.549,6.74,25480.4089,76718.305,446391.4498,17.56,76718.305,227859.66,14.84,900986.6752,2113182.959,Q1,2024
19,300347,泰格医药,196763.2937,124124.4927,2219.6125,7630,51662.0831,3027659.202,0.68,22833.073,80981.5728,479525.7757,12.25,80981.5728,301043.4835,15.84,909693.2877,2106496.67,Q3,2024
20,300347,泰格医药,317262.047,133291.1879,2213.6941,4251.7738,47262.7691,3041711.641,2.53,22711.2814,77224.5863,533241.5803,15.09,77224.5863,276705.92,17.53,877635.2813,2076516.811,HY,2024
21,300347,泰格医药,205534.483,135975.8181,3195.6086,7485.2975,42053.5374,2867101.579,-3.4,25728.7412,79073.7309,366185.2465,-11.52,79073.7309,191201.7204,12.77,868864.7453,2067065.345,FY,2024
22,300347,泰格医药,150526.7395,115538.884,3646.3701,17000,44267.8469,2872959.295,-4.46,27712.163,80907.2676,363572.4222,-18.55,80907.2676,189004.6527,12.65,885411.6195,2052927.47,Q1,2025
23,300347,泰格医药,164814.9746,142716.6649,4394.294,5800,47838.9559,2878425.179,-4.93,33793.0502,110339.2115,293785.3013,-38.73,110339.2115,60181.5468,10.21,945253.893,2117633.866,Q3,2025
24,300347,泰格医药,173287.9416,128771.6507,4363.4437,8700,46468.2655,2850465.776,-6.29,30686.7453,94330.827,339568.9293,-36.32,94330.827,143939.1704,11.91,881544.1906,2052444.188,HY,2025
25,301080,百普赛斯,182791.5381,6187.4322,9305.0652,24563.2328,1595.5217,273596.0237,,3112.4918,0.0086,10547.9458,,314.9329,0.2022,3.86,30452.8627,256320.4429,FY,2022
26,301080,百普赛斯,190289.8117,8011.0001,10244.5723,15500.3224,1204.2156,276618.4308,,3491.1182,344.4951,9021.1078,,344.4951,7080.7946,3.26,34957.8151,261292.2271,Q1,2023
27,301080,百普赛斯,178790.6774,8033.8163,13177.5382,20659.0697,23398.8343,279315.026,,1826.9647,203.4808,13597.5842,,203.4808,2351.3196,4.87,31268.3974,258747.4293,Q3,2023
28,301080,百普赛斯,186929.1772,7467.7786,11148.543,12177.9467,20400.3748,272649.2102,,1739.4531,329.1075,12380.0555,,329.1075,1882.7168,4.54,27616.049,254859.9817,HY,2023
29,301080,百普赛斯,198414.1692,7429.2262,13671.8199,238.6378,26807.7803,281349.7945,2.83,6672.7443,363.7247,18509.2385,75.48,363.7247,600.8826,6.58,31843.1,258955.8266,FY,2023
30,301080,百普赛斯,186394.8517,7632.0323,15448.5418,9023.6432,28708.2016,281212.2373,1.66,4485.2019,250.7152,15272.0248,69.29,250.7152,3050,5.43,35339.8866,262368.0707,Q1,2024
31,301080,百普赛斯,185190.6212,6822.4381,17288.7217,120.658,6148.4427,280112.3847,0.29,8258.4083,218.8788,21409.7201,57.45,218.8788,5090.8826,7.64,29416.7457,257170.7144,Q3,2024
32,301080,百普赛斯,193907.0569,8690.7567,16557.9813,120.6481,30390.4994,287562.463,5.47,8474.2562,226.3022,31235.4452,152.3,226.3022,4530.8826,10.86,26737.2836,254387.3302,HY,2024
33,301080,百普赛斯,188810.18,10033.6267,19713.2053,1.0939,3432.8937,291460.8352,3.59,8712.0176,418.8941,27886.137,50.66,418.8941,8823.3105,9.57,33420.0664,261565.4173,FY,2024
34,301080,百普赛斯,169626.5949,10082.0311,21141.3074,11800,3685.1121,283158.0698,0.69,6818.579,411.4473,19580.7071,28.21,411.4473,5116.2033,6.92,33883.6469,262113.281,Q1,2025
35,301080,百普赛斯,153046.6886,12632.7985,25563.8232,33679.6913,6220.4005,292976.9839,4.59,5876.6183,528.2856,17648.4721,-17.57,528.2856,79.3199,6.02,36930.0184,264246.5396,Q3,2025
36,301080,百普赛斯,171100.9044,11772.9957,24423.4247,11000,5567.8752,287809.6464,0.09,7539.9541,549.084,22858.1967,-26.82,549.084,1760.59,7.94,33421.371,261487.9021,HY,2025
37,301096,百诚医药,123878.9221,14951.6101,6605.129,0.0002,54620.5045,292970.4605,,13930.3742,6261.2016,29070.046,,6261.2016,500.6111,9.92,27046.509,248251.7859,FY,2022
38,301096,百诚医药,128182.5787,18854.8825,7584.9865,0,68386.903,324604.5079,,12530.6048,8617.1588,53236.0454,,8617.1588,25007.8194,16.4,30553.3674,253310.8413,Q1,2023
39,301096,百诚医药,92113.8713,19425.3113,8765.7983,-1.3535,29104.1808,340609.9344,,14825.2157,9055.3137,68255.6523,,9055.3137,29021.7778,20.04,38541.9354,260027.7667,Q3,2023
40,301096,百诚医药,107904.702,19676.276,9085.4373,0.0002,32974.0173,338152.3061,,15878.1627,7942.4896,62982.652,,7942.4896,28020.9722,18.63,30339.2525,254469.2555,HY,2023
41,301096,百诚医药,88192.9188,19991.957,9317.3603,0.0003,44881.6461,366910.6137,25.24,21996.2904,7401.2975,84619.0708,191.09,7401.2975,36931.955,23.06,44421.526,268413.7131,FY,2023
42,301096,百诚医药,79055.5446,24841.7247,12374.6092,108.4853,16431.6957,383469.0945,18.13,13351.5961,6401.4705,96341.8125,80.97,6401.4705,63402.3814,25.12,49403.3469,274138.8523,Q1,2024
43,301096,百诚医药,24299.0245,38981.5889,14922.2182,21900,19132.9106,375990.3683,10.39,11459.7054,9272.8457,82190.0624,20.42,9272.8457,55881.9578,21.86,55342.8613,276973.2268,Q3,2024
44,301096,百诚医药,61545.3538,35397.6719,15231.7235,8366,17269.0065,391262.6565,15.71,12356.9539,9079.6616,94186.0219,49.54,9079.6616,63387.6064,24.07,54598.2993,280024.2564,HY,2024
45,301096,百诚医药,42896.9485,36149.3395,17734.2362,8300,20665.9919,372118.8516,1.42,13489.411,11242.3761,76937.9233,-9.08,11242.3761,36008.0774,20.68,35887.5479,257938.9784,FY,2024
46,301096,百诚医药,39288.9025,38090.4163,19738.1308,12000,21281.0304,377388.5877,-1.59,9982.857,11599.3384,84659.3327,-12.13,11599.3384,53018.6724,22.43,33267.7861,255315.9817,Q1,2025
47,301096,百诚医药,37274.0298,47175.6779,22173.6302,17000,22297.9029,394692.7442,4.97,9477.9879,9553.912,103000.0641,25.32,9553.912,72846.3642,26.1,36499.9689,258547.1388,Q3,2025
48,301096,百诚医药,41887.3651,45477.5199,20581.8758,14864,21938.524,387494.0312,-0.96,10033.6999,9145.2664,95187.0447,1.06,9145.2664,67035.7446,24.56,36197.364,258245.7834,HY,2025
49,301033,迈普医学,4495.7139,1041.6693,2940.9921,14706.5989,1.6311,74491.95,,3272.7318,54.9354,8176.679,,90.3854,-0.0003,10.98,8964.7351,60258.229,FY,2022
50,301033,迈普医学,1283.7726,642.8486,2880.6484,16638.33,3.3015,72844.7432,,2933.0317,75.5097,4671.9415,,178.028,210.3657,6.41,9746.39,61039.8838,Q1,2023
51,301033,迈普医学,3884.4857,978.263,2792.5936,15582.1548,342.7547,75641.9321,,2950.9985,88.2385,5588.4565,,404.0773,210.3657,7.39,10185.9519,61479.4457,Q3,2023
52,301033,迈普医学,1455.8848,476.5647,2620.0307,16051.9621,152.9877,72016.0486,,2669.1471,99.995,4967.3543,,612.3417,382.2383,6.9,8832.6389,60126.1327,HY,2023
53,301033,迈普医学,2667.661,1807.7156,2619.8103,19281.9257,5.3112,78696.9033,5.64,3193.0209,75.8711,6812.3717,-16.69,43.8624,0.0002,8.66,11401.5684,63585.8213,FY,2023
54,301033,迈普医学,4938.0615,1407.364,3034.4255,16679.6737,120.2028,77803.7173,6.81,1939.2494,151.1277,4739.488,1.45,124.6846,26589.8793,6.09,12896.0439,64455.7103,Q1,2024
55,301033,迈普医学,4179.5654,1159.6244,3539.9678,13831.4669,9.7982,74447.3126,-1.58,945.2398,608.0623,4512.1455,-19.26,69.2883,5404.1913,6.06,14053.448,66326.9578,Q3,2024
56,301033,迈普医学,3203.353,1389.5171,3372.0004,11266.0338,5.3112,70981.0387,-1.44,1018.6093,472.015,3480.7742,-29.93,158.8269,0.0478,4.9,12012.2183,63749.59,HY,2024
57,301033,迈普医学,5745.4183,2416.3125,3427.9357,13784.9704,5.3112,79923.0325,1.56,758.9696,532.059,4747.6282,-30.31,69.921,0.0001,5.94,15820.3014,69966.4693,FY,2024
58,301033,迈普医学,3836.7078,2380.5473,3603.8897,15195.5769,15.3124,81596.9916,4.88,1096.5023,390.0419,3747.8975,-20.92,129.607,1126.1559,4.59,18236.5321,72795.4397,Q1,2025
