serial_number,stock_code,stock_abbr,net_cash_flow,net_cash_flow_yoy_growth,operating_cf_net_amount,operating_cf_ratio_of_net_cf,operating_cf_cash_from_sales,investing_cf_net_amount,investing_cf_ratio_of_net_cf,investing_cf_cash_for_investments,investing_cf_cash_from_investment_recovery,financing_cf_cash_from_borrowing,financing_cf_cash_for_debt_repayment,financing_cf_net_amount,financing_cf_ratio_of_net_cf,report_period,report_year
1,002821,凯莱英,-1813855380,,328691.0706,-154.53,1001779.459,-467141.5482,219.62,995850.2437,736624.1337,0,37457,-74252.6521,34.91,FY,2022
2,002821,凯莱英,961020258.7,,130352.5264,95.84,275521.2399,-32721.8214,-24.06,842157.0566,836885.6153,130352.5264,0.6153,38384.1586,28.22,Q1,2023
3,002821,凯莱英,1487527814,,286425.46,196.95,648525.9541,-89504.866,-61.55,4888.1082,13630.1486,69.6966,37457,-51493.235,-35.41,Q3,2023
4,002821,凯莱英,1133950181,,225318.2473,207.28,466465.3699,-69588.9407,-64.02,1869372.365,1835808.235,174009.4353,37457,-47029.3966,-43.27,HY,2023
5,002821,凯莱英,353433505.3,119.49,354972.8383,1121.66,836252.3286,-269122.8998,-850.39,2927766.755,2752642.492,1222.797,37457,-54202.9349,-171.27,FY,2023
6,002821,凯莱英,3058460.18,-99.68,49066.6474,-3885.95,174247.4952,-28460.3127,2253.99,332274.1909,333850,7580.5241,0.0013,-21869.0011,1731.97,Q1,2024
7,002821,凯莱英,-1934085728,-230.02,105285.9875,-54.24,458233.4555,-109112.1996,56.21,24000,6244.3454,3121.5595,0.3473,-190298.4839,98.03,Q3,2024
8,002821,凯莱英,-1186461554,-204.63,87355.9253,-70.13,330365.9808,-70076.7287,56.25,657132.827,669344.357,0.0001,3.1294,-141849.3754,113.87,HY,2024
9,002821,凯莱英,-1762402166,-598.65,125433.7015,-67.5,615341.2205,-118433.3428,63.74,1014294.907,1018250.816,1222.797,879.2776,-192818.66,103.77,FY,2024
10,002821,凯莱英,1307854379,42661.86,44934.1852,34.89,179977.3357,84398.6349,65.54,199287.0856,301858.8152,146987.9232,0.0097,-556.1096,-0.43,Q1,2025
11,002821,凯莱英,711136023.7,136.77,114415.8625,161.17,503716.8978,-11342.9854,-15.98,24000,12110.3847,0.2025,105285.9875,-32080.742,-45.19,Q3,2025
12,002821,凯莱英,1632244909,237.57,70172.1282,42.97,321469.1426,107080.3477,65.57,607274.2166,750650.0589,48.0673,77.9241,-13940.9335,-8.54,HY,2025
13,300347,泰格医药,-595676793,,135750.0892,-218.03,662318.3534,-278936.5863,448.01,220332.4983,42393.147,344141.3597,183469.726,80925.3912,-129.98,FY,2022
14,300347,泰格医药,-227954720.8,,2850.8219,-13.15,152558.8216,-54751.2822,252.49,71666.5838,22629.2373,46040.0908,17015.6794,30216.1242,-139.35,Q1,2023
15,300347,泰格医药,-422792070.3,,67264.4482,-151.16,504327.582,-159250.4849,357.87,173592.0304,65578.7863,280714.5395,184511.9105,47486.1242,-106.71,Q3,2023
16,300347,泰格医药,313430804.1,,37504.1255,130.43,331008.2307,-70855.992,-246.41,95608.8659,34963.9774,145585.0834,89684.1185,62107.0203,215.99,HY,2023
17,300347,泰格医药,-382799517.2,35.74,115043.7942,-293.78,680404.3815,-153422.4742,391.79,214206.4125,117392.5796,320052.3135,251674.8688,-780.606,1.99,FY,2023
18,300347,泰格医药,21838606.76,109.58,14420.446,535.82,147694.0314,-11971.6564,-444.83,17050.1193,15215.8472,37300.8,8289.696,242.4772,9.01,Q1,2024
19,300347,泰格医药,-5438054514,-1186.22,57876.961,-10.69,485612.6172,-572311.69,105.66,609118.586,61902.5447,284351.6598,203540.6824,-27200.1686,5.02,Q3,2024
20,300347,泰格医药,-4236798441,-1451.75,17732.8385,-4.18,305632.2443,-462181.0703,109.05,473348.9965,28689.9076,151531.84,74270.5524,20621.0011,-4.87,HY,2024
21,300347,泰格医药,-5351447517,-1297.98,109700.1904,-20.53,678511.921,-473912.2414,88.67,617606.7437,208850.7799,337945.8927,388022.2822,-170241.0228,31.85,FY,2024
22,300347,泰格医药,-558841014.4,-2658.96,19793.4614,-35.11,163027.3549,-65786.9238,116.68,74779.3522,11761.6399,55535.6,31900.7748,-10386.5806,18.42,Q1,2025
23,300347,泰格医药,-448588449.3,91.75,73955.763,-163.79,531797.9333,49370.6798,-109.34,113816.1366,177763.4145,104498.6872,217023.097,-168478.8364,373.13,Q3,2025
24,300347,泰格医药,-358081180.8,91.55,40861.9008,-109.71,337783.0011,4589.0056,-12.32,87438.9322,102947.5121,100979.6907,123520.5516,-82695.0321,222.04,HY,2025
25,301080,百普赛斯,-1091926440,,20218.9111,-18.41,48869.8757,-117643.2449,107.11,370308.0008,278947,0.2022,47443.0912,-12410.505,11.3,FY,2022
