serial_number,stock_code,stock_abbr,eps,total_operating_revenue,operating_revenue_yoy_growth,operating_revenue_qoq_growth,net_profit_10k_yuan,net_profit_yoy_growth,net_profit_qoq_growth,net_asset_per_share,roe,operating_cf_per_share,net_profit_excl_non_recurring,net_profit_excl_non_recurring_yoy,gross_profit_margin,net_profit_margin,roe_weighted_excl_non_recurring,report_period,report_year,operating_cf_net_amount,guben
1,002821,凯莱英,9.02,1025532.539,,,0.0001,,,,,,,,,,,FY,2022,328691.0706,369916845
2,002821,凯莱英,1.72,224903.4498,,,63034.6004,,,,3.95,,,,,,,Q1,2023,130352.5264,369916845
3,002821,凯莱英,1.45,176154.6767,,,176154.6767,,,,3.18,,,,,,,Q3,2023,286425.46,369573313
4,002821,凯莱英,4.65,462151.0379,,,168636.8977,,,,10.21,,,,,,,HY,2023,225318.2473,369655381
5,002821,凯莱英,6.26,782519.0298,,,0.0001,,,,,,,,,,,FY,2023,354972.8383,369471533
6,002821,凯莱英,0.76,139980.8312,,,25397.4228,,,,1.6,,139980.8312,,,,,Q1,2024,49066.6474,369471113
7,002821,凯莱英,0.61,144293.6481,,,144293.6481,,,,1.28,,,,,,,Q3,2024,105285.9875,367716423
8,002821,凯莱英,1.4,269735.2097,,,49913.1294,,,,2.87,,,,,,,HY,2024,87355.9253,369471113
9,002821,凯莱英,2.69,580465.7337,,,0.0001,,,,,,,,,,,FY,2024,125433.7015,367716423
10,002821,凯莱英,0.89,154121.5508,,,30511.2828,,,,1.92,,154121.5508,,,,,Q1,2025,44934.1852,367716423
11,002821,凯莱英,0.5,144157.0607,,,144157.0607,,,,,,,,,,,Q3,2025,114415.8625,360593720
12,002821,凯莱英,1.68,318830.6524,,,56612.3637,,,,3.59,,0.2024,,,,,HY,2025,70172.1282,360593720
13,300347,泰格医药,2.32,708547.1469,,,0.0001,,,,,,,,,,,FY,2022,135750.0892,872418220
14,300347,泰格医药,0.66,180457.1375,,,38121.7754,,,,2.86,,180457.1375,,,,,Q1,2023,2850.8219,872418220
15,300347,泰格医药,0.57,193962.7566,,,193962.7566,,,,,,,,,,,Q3,2023,67264.4482,872418220
16,300347,泰格医药,1.61,371085.0372,,,79347.4392,,,,6.83,,79347.44,,,,,HY,2023,37504.1255,872418220
17,300347,泰格医药,2.34,738403.9461,,,0.0001,,,,,,,,,,,FY,2023,115043.7942,872418220
18,300347,泰格医药,0.27,166020.4321,,,30305.2196,,,,1.12,,166020.4321,,,,,Q1,2024,14420.446,872418220
19,300347,泰格医药,0.37,170937.1137,,,170937.1137,,,,1.53,,,,,,,Q3,2024,57876.961,864948570
20,300347,泰格医药,0.57,335824.4223,,,49284.8851,,,,2.32,,,,,,,HY,2024,17732.8385,864948570
21,300347,泰格医药,0.47,660312.0163,,,0.0001,,,,,,,,,,,FY,2024,109700.1904,864948570
22,300347,泰格医药,0.19,156414.3615,,,16546.8741,,,,0.8,,,,,,,Q1,2025,19793.4614,864948570
23,300347,泰格医药,0.74,177542.3981,,,177542.3981,,,,,,,,,,,Q3,2025,73955.763,861026050
24,300347,泰格医药,0.45,325044.428,,,21075.2395,,,,1.86,,8998.6795,,,,,HY,2025,40861.9008,861026050
25,301080,百普赛斯,1.6978,47443.0912,,,20373.4589,,,,8.13,,,,,,,FY,2022,20218.9111,80000000
26,301080,百普赛斯,0.3754,13686.5463,,,4461.3402,,,,2.03,,13686.5463,,,,,Q1,2023,4367.9159,80000000
27,301080,百普赛斯,0.3044,14417.996,,,3652.3483,,,,1.42,,,,,,,Q3,2023,6621.202,120000000
28,301080,百普赛斯,4000,26839.996,,,9163.1863,,,,3.52,,,,,,,HY,2023,6125.7368,120000000
29,301080,百普赛斯,1.2801,54365.3288,,,14040.2869,,,,5.98,,0.2024,,,,,FY,2023,11119.8021,120000000
30,301080,百普赛斯,0.2561,14599.8737,,,3067.2071,,,,1.18,,3028.1879,,,,,Q1,2024,3206.2883,120000000
31,301080,百普赛斯,0.2238,16408.4511,,,2679.4621,,,,1.05,,,,,,,Q3,2024,8870.5739,120000000
32,301080,百普赛斯,0.4735,29940.0735,,,5669.5416,,,,2.18,,,,,,,HY,2024,3548.456,120000000
33,301080,百普赛斯,1.0319,64502.1891,,,12383.248,,,,4.8,,,,,,,FY,2024,8470.6738,120000000
34,301080,百普赛斯,0.3382,18649.038,,,3815.3351,,,,1.54,,18649.038,,,,,Q1,2025,3344.4973,120000000
35,301080,百普赛斯,0.2909,22562.0486,,,14074.808,,,,1.85,,,,,,,Q3,2025,17700.2426,167848198
36,301080,百普赛斯,0.5,38736.4916,,,8380.3973,,,,3.2,,,,,,,HY,2025,7667.7183,120000000
37,301096,百诚医药,1.8,60741.0539,,,0.0001,,,,,,16972.06,,,,,FY,2022,25941.3421,108166667
38,301096,百诚医药,0.32,16092.1094,,,3455.4752,,,,1.4,,16092.1094,,,,,Q1,2023,-336.7416,108166667
39,301096,百诚医药,0.76,28994.4215,,,28994.4215,,,,,,,,,,,Q3,2023,3353.5645,108166667
40,301096,百诚医药,1.1,42386.2084,,,11945.9477,,,,4.73,,0.0002,,,,,HY,2023,17.6867,108166667
41,301096,百诚医药,2.51,101744.8123,,,0.0001,,,,,,25878.52,,,,,FY,2023,9045.3414,108919903
